id,title,genres,popularity,rating,description,image_url
23,Ring ni Kakero 1,['sports'],8605,6.35,"In order to fulfill their dead father's wish, the siblings Takane Kiku and Takane Ryuji aim for the champion title of the boxing arena. Their sister, Kiku, will act as the trainer while her brother, Ryuji, will concentrate on the role of the boxer and learn the Boomerang. His battle with many rivals has led to the growth and maturing of Ryuji. The junior high boxing tournament has begun and Ryuji will be fighting his arch-rival, Kenzaki Jun. The battle begins.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/1146/124743.jpg
112,Chou Henshin Cosprayers,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'ecchi']",6839,4.83,"Koto unknowingly seals away the Sun Goddess Amaterasu, and now she is in a different world and can't return. Meeting priestesses who combat the evil in this strange place she learns that Black Towers throughout the land keep Amaterasu sealed away and are guarded by evil monsters. Koto must now find a way to help defeat these monsters and return the world to the way it was.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/5/75236.jpg
118,Shinpi no Sekai El-Hazard Season 2,"['adventure', 'comedy', 'fantasy']",6682,6.77,"Continuing the from OVAs; When Fujisawa, suffering from cold feet, leaves Miz at the altar, an enraged Priestess drafts Makoto and friends to go find him. In the couse of locating the hapless (and gutless) teacher, they find another Ifurita. Meanwhile Jinnai and Diva searching for a new Bugrom homeland stumble upon another yet another Demon God, the impish Kalia. However, unlike Ifurita she has a mind, and a mission, of her own... 

(Source: ANN)",https://cdn.myanimelist.net/images/anime/11/2796.jpg
148,Kita e.: Diamond Dust Drops,"['drama', 'romance']",6649,6.56,"If a couple sees the diamond dust together, then they will certainly find eternal happiness. Or so it is said. This is a drama about the romances, friendships and conflicts of six girls from Hokkaido and how the diamond dust affects them and eventually links them together in the search for happiness. 

(Source: ANN)",https://cdn.myanimelist.net/images/anime/1488/132892.jpg
163,Power Stone,"['adventure', 'comedy', 'fantasy']",7022,6.46,"An ancient legend tells of a magical Powerstone that granted its owner any wish desired. Adventurers from all over the globe clash as they seek this mystical gem. 

Based upon the Dreamcast game, POWERSTONE tries to entertain us with the story behind the game's premise. The plot begins with our hero, Fokker, training to be a fighter like his idol, Vargas. 

(Source: AniDB)",https://cdn.myanimelist.net/images/anime/1110/98247.jpg
171,Strange Dawn,"['adventure', 'drama', 'fantasy']",7884,6.25,"Yuko and Eri are two normal girls who are sucked into the alternate world filled with tiny people. The people of this mysterious world sees them as their ""Great Protectors"" who can protect their land in a time of strife. The two girls set out on a mission with a group of warriors from the village to find out how they were brought here and how might they return home. However, there is a war brewing and these two Great Protectors are the political tool that every faction lusts for to rally the people to their side. 

(Source: ANN)",https://cdn.myanimelist.net/images/anime/12/74782.jpg
176,Triangle Heart: Sweet Songs Forever,"['adventure', 'romance']",7450,6.11,"Fiasse is a world-renowned singer. She is now the headmistress of a special Singing School who does a Charity World Tour every year. Her mother left behind a inheritance for her after she died and some shady people are after Fiasse and the inheritance. Bring in Ellis, and two siblings who are master of the swords to protect Fiasse. The World Tour is coming up and Fiasse will continue the show. Ellis, Kyoya, Miyuki and company must protect their childhood friend at all costs. 

(Source: ANN)",https://cdn.myanimelist.net/images/anime/7/17439.jpg
179,Ultra Maniac OVA,"['comedy', 'fantasy', 'romance']",8277,6.62,"Ayu Tateishi is a popular second-year student at her middle school admired for being calm, cool, and collected. But this carefully preserved image was all crafted to catch the eye of her crush Tetsushi Kaji, who once complimented her for those qualities. Studying, playing tennis, and finding chances to speak with Tetsushi are all that are on Ayu's mind—until the day she finds a mini-computer underneath a bench. 

After returning the item to Nina Sakura, a girl who was searching for a lost item earlier, Ayu is chosen by Nina as a confidante for her secret. When the school's two tennis teams have a dispute regarding use of the courts, Ayu is forced to settle the matter by playing against Hiroki Tsujiai, the captain of the boys' team and Tetsushi's best friend. While dreading the prospect of losing and embarrassing herself, Ayu is approached by Nina, who is revealed to be a witch who came to Earth after failing to graduate from the Magic Kingdom's middle school. Wanting to help Ayu win the match, Nina imbues a piece of chocolate with a spell that just might come in handy...

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/2/3132.jpg
215,Pia Carrot e Youkoso!! 2 DX,"['comedy', 'romance']",10172,6.2,"Kouji wants to work part-time, so, when he saw a cute girl with the Pia Carrot uniform, he tried to get a job there. When he's on the way, he accidentally bumped Azusa, and with some misunderstanding, they literally hate each other. What is the surprise of Kouji when he finds that she also got a job in the Pia Carrot, facing her daily. But as time passes, he will discover that 'hate' is not the appropriate word to describe his feelings...

(Source: ANN)",https://cdn.myanimelist.net/images/anime/11/50781.jpg
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,"['comedy', 'romance']",9963,5.82,"High schoolers Sayaka Takai and Akihiko Kannazuki work together at a restaurant chain ""Pia Carrot."" Both are interested in each other, but before either could make a move Sayaka was temporarily rotated to the newly established branch at a beach resort. While waitress girls at this new location did their best to confront harassment, make new friends, and attract new customers by attending a beauty contest, Sayaka's feeling for Akihiko never stops and has become stronger and stronger.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/1860/116096.jpg
231,Asagiri no Miko,"['action', 'comedy', 'fantasy']",7091,6.1,"Since childhood, Tadahiro Amatsu has two different-colored eyes - one brown and one light hazel. But because of a dark secret behind his left eye, he's become a target for the masked sorcerer Ayatara Miramune and his band of demons. To combat the demons appearing all over town, Yuzu Hieda, a priestess in training, recruits four other girls from her high school. Under the supervision of Yuzu's elder sister Kurako, the five young priestesses must undergo months of training to master their abilities.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/3/75196.jpg
234,Dan Doh!!,"['adventure', 'sports']",8887,6.63,"Dandoh was playing a baseball game with friends Yuka and Kohei and hits a wild fly ball which crashes into the principal's potted plants. Rather than getting mad, the principal admires Dandoh's swing and introduces him to the world of golf. It's now an adventure in golf as Dandoh is under the watchful eye of a former pro-golfer. They enter a tournament together and play for a shot at the national championships.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/3/15231.jpg
244,Agatha Christie no Meitantei Poirot to Marple,['mystery'],7168,6.87,"Young Mabel West is the daughter of mystery writer Raymond West, who wants her to lead a normal life. Rebelling against this, Mabel wants to be a great detective, and sets out for London to become assistant to none other than Hercule Poirot, the great Belgian detective who resides there. She finally wins the reluctant approval of her father, and embarks on an exciting life of mystery and suspense—his only demand being that she occasionally spend some time with her great-aunt, Jane Marple, in the small village of St. Mary Mead.",https://cdn.myanimelist.net/images/anime/6/3149.jpg
262,Happy☆Lesson The Final,"['comedy', 'romance']",6604,6.76,"When Mitsuki learns that the highschool is going to destroy the old school building, she is saddened at the thought of so many memories being erased. Chitose and the rest of the moms spring into action to stop the demolition. During their efforts, Fumitsuki, Chitose, and Mitsuki finally realize their true feelings.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/11/75578.jpg
280,Animal Yokochou,"['adventure', 'comedy', 'fantasy']",9702,7.01,"On the first day her family moved to their new house, 5-year-old Ami-chan made friends with three talking animals who came out of a door in her bedroom floor, which she finds out leads to Animal Yokocho, another world. The three are Issa, an overly innocent, soft-spoken panda, Kenta, a highly strung, red-scarf-loving bear who puts on an almost constant tough-guy act, and Iyo, a rabbit who usually holds her own well-being and enjoyment over the happiness (and safety) of her friends. Even at only 5 years old, Ami-chan is easily the most rational of the group, and she's a little wary at first, but she eventually comes around and starts spending her free time with them. A typical day involves Ami-chan and the three doing different things to pass the time, often playing a seemingly innocent game, but in AniYoko style. Unfortunately for Ami-chan, the AniYoko version usually turns out to be drastically different, much less logical, and usually more dangerous than the ordinary version.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/5/53409.jpg
295,Divergence Eve 2: Misaki Chronicles,"['adventure', 'drama', 'sci-fi']",7205,6.29,"Through the long distance warp called the ""Exodus Project"", Worns, Ryer and the
other crew members of ""Watchers Nest"" manage to escape from the Earth. Misaki, who
was attending the final battle with ""Ghoul"" at that time, isn't present there and
before her eyes, the earth changes and gets enclosed by a time barrier.

Ryer and the others search for a way to escape from this space time maze, but the
earth changes to various forms. Innumerable ""Nows"" appear due to varying time axes. 

And also Misaki, who should have disappeared because of the Exodus Project incident,
still afortiori. Before Ryer and the others, different forms of Misaki appear. The
Misaki from training school, the Misaki from her childhood days.

Are these reflections caused by the conflicts that exist inside Misaki?

She awakens a second time and when she derives the response, that history is leading
into a completely differnet direction now.

Will Misaki, Ryer and the others be able to find a real happy end?!

(Source: AnimeNfo)",https://cdn.myanimelist.net/images/anime/1320/98811.jpg
301,Cinderella Boy,"['action', 'adventure', 'comedy', 'mystery']",7242,6.31,"Ranma and his partner Rera run a detective agency in Giraffe City. An arranged accident leaves Rera and Ranma in an unfortunate state where the two detectives swap bodies at the stroke of midnight. With Ranma dissapearing and the beautiful Rera appearing. 

(Source: ANN)",https://cdn.myanimelist.net/images/anime/7/89194.jpg
